Symbol,Name,Exchange
002023.XSHE,SICHUAN HAITE HIGH-TECH,Shenzhen
002025.XSHE,GUIZHOU SPACE APPLIANCE,Shenzhen
002026.XSHE,SHANDONG WEIDA MACHINERY,Shenzhen
002027.XSHE,FOCUS MEDIA INFORMATION TECHNOLOGY,Shenzhen
002028.XSHE,SIEYUAN ELECTRIC,Shenzhen
002029.XSHE,FUJIAN SEPTWOLVES INDUSTRY,Shenzhen
002030.XSHE,DAAN GENE,Shenzhen
002031.XSHE,GREATOO INTELLIGENT EQUIPMENT INC,Shenzhen
002032.XSHE,ZHEJIANG SUPOR,Shenzhen
002033.XSHE,LIJIANG YULONG TOURISM,Shenzhen
002034.XSHE,WANGNENG ENVIRONMENT,Shenzhen
002035.XSHE,VATTI CORPORATION,Shenzhen
002036.XSHE,LIANCHUANG ELECTRONIC TECHNOLOGY,Shenzhen
002037.XSHE,POLY UNION CHEMICAL HOLDING GROUP,Shenzhen
002038.XSHE,BEIJING SL PHARMACEUTICAL,Shenzhen
002039.XSHE,GUIZHOU QIANYUAN POWER,Shenzhen
002040.XSHE,NANJING PORT,Shenzhen
002041.XSHE,SHANDONG DENGHAI SEEDS,Shenzhen
002042.XSHE,HUAFU FASHION,Shenzhen
002043.XSHE,DEHUA TB NEW DECORATION MATERIAL,Shenzhen
002044.XSHE,MEINIAN ONEHEALTH HEALTHCARE HOLDINGS,Shenzhen
002045.XSHE,GUOGUANG ELECTRIC,Shenzhen
002046.XSHE,SINOMACH PRECISION INDUSTRY GROUP,Shenzhen
002048.XSHE,NINGBO HUAXIANG ELECTRONIC,Shenzhen
002049.XSHE,UNIGROUP GUOXIN MICROELECTRONICS,Shenzhen
002050.XSHE,ZHEJIANG SANHUA INTELLIGENT CONTROLS,Shenzhen
002051.XSHE,CHINA CAMC ENGINEERING,Shenzhen
002052.XSHE,SHENZHEN COSHIP ELECTRONICS,Shenzhen
002053.XSHE,YUNNAN ENERGY INVESTMENT,Shenzhen
002056.XSHE,HENGDIAN GROUP DMEGC MAGNETICS,Shenzhen
002057.XSHE,SINOSTEEL NEW MATERIALS,Shenzhen
002059.XSHE,YUNNAN TOURISM,Shenzhen
002060.XSHE,GUANGDONG CONSTRUCTION ENGINEERING GP,Shenzhen
002061.XSHE,ZHEJIANG COMMUNICATIONS TECHNOLOGY,Shenzhen
002062.XSHE,HONGRUN CONSTRUCTION GROUP,Shenzhen
002063.XSHE,YGSOFT INC,Shenzhen
002064.XSHE,HUAFON CHEMICAL,Shenzhen
